epoch,loss,lr,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.4297468364238739,0.001,0.8429499864578247,0.3922984004020691,0.8621000051498413
1,0.2950313091278076,0.001,0.8935999870300293,0.2602193355560303,0.9077000021934509
2,0.25753623247146606,0.001,0.9050333499908447,0.2602778971195221,0.9063000082969666
3,0.23181678354740143,0.001,0.9160166382789612,0.2273886650800705,0.9140999913215637
4,0.2114020735025406,0.001,0.9214333295822144,0.201847106218338,0.9253000020980835
5,0.19579949975013733,0.001,0.9280166625976562,0.20962095260620117,0.923799991607666
6,0.18259836733341217,0.001,0.9335166811943054,0.21637758612632751,0.925599992275238
7,0.17164480686187744,0.001,0.9370499849319458,0.19325999915599823,0.9311000108718872
8,0.15825696289539337,0.001,0.9419500231742859,0.2009022980928421,0.926800012588501
9,0.14876963198184967,0.001,0.9446666836738586,0.19403642416000366,0.9301999807357788
10,0.10936493426561356,0.0005,0.9602500200271606,0.18554703891277313,0.9376999735832214
11,0.09510712325572968,0.0005,0.9656999707221985,0.1936076134443283,0.9375
12,0.08706670254468918,0.0005,0.9684333205223083,0.19946609437465668,0.9368000030517578
13,0.06037263199687004,0.00025,0.9787999987602234,0.1925751268863678,0.9441999793052673
14,0.05023280531167984,0.00025,0.982200026512146,0.20825232565402985,0.9409000277519226
15,0.04443458840250969,0.00025,0.9854999780654907,0.22178508341312408,0.9412999749183655
16,0.031713079661130905,0.000125,0.9894833564758301,0.22513508796691895,0.9435999989509583
17,0.027067575603723526,0.000125,0.9910833239555359,0.24661606550216675,0.9440000057220459
18,0.018892480060458183,6.25e-05,0.9941999912261963,0.24078349769115448,0.9437999725341797
